Anrede;Titel;Vorname;Nachname;Titel2;Nutzernamen;Privatadr;Privatnr;E-Mail;Anmeldedatum;Studiengaenge;Matrikelnr;Bemerkung
"Frau"; ""; "First003"; "Lastname003"; ""; ""; ""; ""; "Lastname003@email.de"; ""; "Master of Science;7"; 360794; ""
"Herr"; ""; "First036"; "Lastname036"; ""; ""; ""; ""; "Lastname036@email.de"; ""; "Master of Science;3"; 366035; ""
"Herr"; ""; "First025"; "Lastname025"; ""; ""; ""; ""; "Lastname025@email.de"; ""; "Master of Science;1"; 369536; ""
"Herr"; ""; "First130"; "Lastname130"; ""; ""; ""; ""; "Lastname130@email.de"; ""; "Master of Science;1"; 369628; ""
"Herr"; ""; "First038"; "Lastname038"; ""; ""; ""; ""; "Lastname038@email.de"; ""; "Master of Science;2"; 382990; ""
"Frau"; ""; "First107"; "Lastname107"; ""; ""; ""; ""; "Lastname107@email.de"; ""; "Master of Science;3"; 387560; ""
"Frau"; ""; "First124"; "Lastname124"; ""; ""; ""; ""; "Lastname124@email.de"; ""; "Master of Science;3"; 403199; ""
"Herr"; ""; "First091"; "Lastname091"; ""; ""; ""; ""; "Lastname091@email.de"; ""; "Master of Science;8"; 410567; ""
"Herr"; ""; "First133"; "Lastname133"; ""; ""; ""; ""; "Lastname133@email.de"; ""; "Master of Science;10"; 410643; ""
"Frau"; ""; "First126"; "Lastname126"; ""; ""; ""; ""; "Lastname126@email.de"; ""; "Master of Science;9"; 412913; ""
"Frau"; ""; "First141"; "Lastname141"; ""; ""; ""; ""; "Lastname141@email.de"; ""; "Master of Science;6"; 428596; ""
"Frau"; ""; "First083"; "Lastname083"; ""; ""; ""; ""; "Lastname083@email.de"; ""; "Master of Science;8"; 430956; ""
"Frau"; ""; "First082"; "Lastname082"; ""; ""; ""; ""; "Lastname082@email.de"; ""; "Master of Science;4"; 434663; ""
"Frau"; ""; "First105"; "Lastname105"; ""; ""; ""; ""; "Lastname105@email.de"; ""; "Master of Science;10"; 439604; ""
"Herr"; ""; "First001"; "Lastname001"; ""; ""; ""; ""; "Lastname001@email.de"; ""; "Master of Science;3"; 440323; ""
"Frau"; ""; "First015"; "Lastname015"; ""; ""; ""; ""; "Lastname015@email.de"; ""; "Master of Science;9"; 443002; ""
"Herr"; ""; "First066"; "Lastname066"; ""; ""; ""; ""; "Lastname066@email.de"; ""; "Master of Science;6"; 444652; ""
"Frau"; ""; "First121"; "Lastname121"; ""; ""; ""; ""; "Lastname121@email.de"; ""; "Master of Science;4"; 450470; ""
"Herr"; ""; "First148"; "Lastname148"; ""; ""; ""; ""; "Lastname148@email.de"; ""; "Master of Science;7"; 453656; ""
"Herr"; ""; "First101"; "Lastname101"; ""; ""; ""; ""; "Lastname101@email.de"; ""; "Master of Science;6"; 469197; ""
"Frau"; ""; "First080"; "Lastname080"; ""; ""; ""; ""; "Lastname080@email.de"; ""; "Master of Science;8"; 475890; ""
"Frau"; ""; "First120"; "Lastname120"; ""; ""; ""; ""; "Lastname120@email.de"; ""; "Master of Science;7"; 497245; ""
"Frau"; ""; "First009"; "Lastname009"; ""; ""; ""; ""; "Lastname009@email.de"; ""; "Master of Science;10"; 499447; ""
"Herr"; ""; "First028"; "Lastname028"; ""; ""; ""; ""; "Lastname028@email.de"; ""; "Master of Science;9"; 501106; ""
"Frau"; ""; "First147"; "Lastname147"; ""; ""; ""; ""; "Lastname147@email.de"; ""; "Master of Science;9"; 506056; ""
"Frau"; ""; "First031"; "Lastname031"; ""; ""; ""; ""; "Lastname031@email.de"; ""; "Master of Science;8"; 507377; ""
"Herr"; ""; "First117"; "Lastname117"; ""; ""; ""; ""; "Lastname117@email.de"; ""; "Master of Science;5"; 510404; ""
"Herr"; ""; "First035"; "Lastname035"; ""; ""; ""; ""; "Lastname035@email.de"; ""; "Master of Science;3"; 519463; ""
"Herr"; ""; "First026"; "Lastname026"; ""; ""; ""; ""; "Lastname026@email.de"; ""; "Master of Science;1"; 520767; ""
"Herr"; ""; "First127"; "Lastname127"; ""; ""; ""; ""; "Lastname127@email.de"; ""; "Master of Science;9"; 529490; ""
"Frau"; ""; "First032"; "Lastname032"; ""; ""; ""; ""; "Lastname032@email.de"; ""; "Master of Science;9"; 534771; ""
"Herr"; ""; "First142"; "Lastname142"; ""; ""; ""; ""; "Lastname142@email.de"; ""; "Master of Science;2"; 546992; ""
"Frau"; ""; "First078"; "Lastname078"; ""; ""; ""; ""; "Lastname078@email.de"; ""; "Master of Science;7"; 553796; ""
"Herr"; ""; "First021"; "Lastname021"; ""; ""; ""; ""; "Lastname021@email.de"; ""; "Master of Science;3"; 562468; ""
"Herr"; ""; "First008"; "Lastname008"; ""; ""; ""; ""; "Lastname008@email.de"; ""; "Master of Science;2"; 577028; ""
"Herr"; ""; "First125"; "Lastname125"; ""; ""; ""; ""; "Lastname125@email.de"; ""; "Master of Science;1"; 580453; ""
"Herr"; ""; "First113"; "Lastname113"; ""; ""; ""; ""; "Lastname113@email.de"; ""; "Master of Science;1"; 584620; ""
"Herr"; ""; "First055"; "Lastname055"; ""; ""; ""; ""; "Lastname055@email.de"; ""; "Master of Science;1"; 599984; ""
"Herr"; ""; "First018"; "Lastname018"; ""; ""; ""; ""; "Lastname018@email.de"; ""; "Master of Science;1"; 600908; ""
"Frau"; ""; "First095"; "Lastname095"; ""; ""; ""; ""; "Lastname095@email.de"; ""; "Master of Science;8"; 606746; ""
"Frau"; ""; "First019"; "Lastname019"; ""; ""; ""; ""; "Lastname019@email.de"; ""; "Master of Science;8"; 611418; ""
"Frau"; ""; "First016"; "Lastname016"; ""; ""; ""; ""; "Lastname016@email.de"; ""; "Master of Science;7"; 615842; ""
"Herr"; ""; "First044"; "Lastname044"; ""; ""; ""; ""; "Lastname044@email.de"; ""; "Master of Science;10"; 616446; ""
"Herr"; ""; "First104"; "Lastname104"; ""; ""; ""; ""; "Lastname104@email.de"; ""; "Master of Science;6"; 620455; ""
"Herr"; ""; "First045"; "Lastname045"; ""; ""; ""; ""; "Lastname045@email.de"; ""; "Master of Science;1"; 633675; ""
"Frau"; ""; "First143"; "Lastname143"; ""; ""; ""; ""; "Lastname143@email.de"; ""; "Master of Science;5"; 635406; ""
"Herr"; ""; "First012"; "Lastname012"; ""; ""; ""; ""; "Lastname012@email.de"; ""; "Master of Science;9"; 637750; ""
"Herr"; ""; "First098"; "Lastname098"; ""; ""; ""; ""; "Lastname098@email.de"; ""; "Master of Science;8"; 638933; ""
"Herr"; ""; "First057"; "Lastname057"; ""; ""; ""; ""; "Lastname057@email.de"; ""; "Master of Science;7"; 640017; ""
"Herr"; ""; "First020"; "Lastname020"; ""; ""; ""; ""; "Lastname020@email.de"; ""; "Master of Science;8"; 643935; ""
"Frau"; ""; "First076"; "Lastname076"; ""; ""; ""; ""; "Lastname076@email.de"; ""; "Master of Science;9"; 644337; ""
"Herr"; ""; "First039"; "Lastname039"; ""; ""; ""; ""; "Lastname039@email.de"; ""; "Master of Science;7"; 645570; ""
"Frau"; ""; "First119"; "Lastname119"; ""; ""; ""; ""; "Lastname119@email.de"; ""; "Master of Science;8"; 655479; ""
"Frau"; ""; "First034"; "Lastname034"; ""; ""; ""; ""; "Lastname034@email.de"; ""; "Master of Science;7"; 657721; ""
"Frau"; ""; "First102"; "Lastname102"; ""; ""; ""; ""; "Lastname102@email.de"; ""; "Master of Science;4"; 664766; ""
"Herr"; ""; "First138"; "Lastname138"; ""; ""; ""; ""; "Lastname138@email.de"; ""; "Master of Science;5"; 668968; ""
"Frau"; ""; "First073"; "Lastname073"; ""; ""; ""; ""; "Lastname073@email.de"; ""; "Master of Science;4"; 676026; ""
"Frau"; ""; "First114"; "Lastname114"; ""; ""; ""; ""; "Lastname114@email.de"; ""; "Master of Science;3"; 676416; ""
"Herr"; ""; "First071"; "Lastname071"; ""; ""; ""; ""; "Lastname071@email.de"; ""; "Master of Science;1"; 689652; ""
"Herr"; ""; "First063"; "Lastname063"; ""; ""; ""; ""; "Lastname063@email.de"; ""; "Master of Science;8"; 705468; ""
"Herr"; ""; "First052"; "Lastname052"; ""; ""; ""; ""; "Lastname052@email.de"; ""; "Master of Science;2"; 710311; ""
"Frau"; ""; "First006"; "Lastname006"; ""; ""; ""; ""; "Lastname006@email.de"; ""; "Master of Science;1"; 714920; ""
"Frau"; ""; "First059"; "Lastname059"; ""; ""; ""; ""; "Lastname059@email.de"; ""; "Master of Science;3"; 715136; ""
"Herr"; ""; "First139"; "Lastname139"; ""; ""; ""; ""; "Lastname139@email.de"; ""; "Master of Science;6"; 722069; ""
"Herr"; ""; "First000"; "Lastname000"; ""; ""; ""; ""; "Lastname000@email.de"; ""; "Master of Science;8"; 729322; ""
"Frau"; ""; "First103"; "Lastname103"; ""; ""; ""; ""; "Lastname103@email.de"; ""; "Master of Science;7"; 730725; ""
"Frau"; ""; "First022"; "Lastname022"; ""; ""; ""; ""; "Lastname022@email.de"; ""; "Master of Science;6"; 734762; ""
"Frau"; ""; "First077"; "Lastname077"; ""; ""; ""; ""; "Lastname077@email.de"; ""; "Master of Science;7"; 764643; ""
"Herr"; ""; "First049"; "Lastname049"; ""; ""; ""; ""; "Lastname049@email.de"; ""; "Master of Science;8"; 773813; ""
"Frau"; ""; "First110"; "Lastname110"; ""; ""; ""; ""; "Lastname110@email.de"; ""; "Master of Science;2"; 775108; ""
"Frau"; ""; "First090"; "Lastname090"; ""; ""; ""; ""; "Lastname090@email.de"; ""; "Master of Science;8"; 778644; ""
"Herr"; ""; "First068"; "Lastname068"; ""; ""; ""; ""; "Lastname068@email.de"; ""; "Master of Science;4"; 779314; ""
"Herr"; ""; "First093"; "Lastname093"; ""; ""; ""; ""; "Lastname093@email.de"; ""; "Master of Science;5"; 795133; ""
"Herr"; ""; "First144"; "Lastname144"; ""; ""; ""; ""; "Lastname144@email.de"; ""; "Master of Science;7"; 809584; ""
"Frau"; ""; "First014"; "Lastname014"; ""; ""; ""; ""; "Lastname014@email.de"; ""; "Master of Science;8"; 813935; ""
"Herr"; ""; "First128"; "Lastname128"; ""; ""; ""; ""; "Lastname128@email.de"; ""; "Master of Science;6"; 822137; ""
"Frau"; ""; "First140"; "Lastname140"; ""; ""; ""; ""; "Lastname140@email.de"; ""; "Master of Science;3"; 843350; ""
"Herr"; ""; "First030"; "Lastname030"; ""; ""; ""; ""; "Lastname030@email.de"; ""; "Master of Science;10"; 848201; ""
"Frau"; ""; "First075"; "Lastname075"; ""; ""; ""; ""; "Lastname075@email.de"; ""; "Master of Science;3"; 851872; ""
"Herr"; ""; "First007"; "Lastname007"; ""; ""; ""; ""; "Lastname007@email.de"; ""; "Master of Science;10"; 852326; ""
"Frau"; ""; "First056"; "Lastname056"; ""; ""; ""; ""; "Lastname056@email.de"; ""; "Master of Science;7"; 855309; ""
"Frau"; ""; "First146"; "Lastname146"; ""; ""; ""; ""; "Lastname146@email.de"; ""; "Master of Science;5"; 860331; ""
"Herr"; ""; "First118"; "Lastname118"; ""; ""; ""; ""; "Lastname118@email.de"; ""; "Master of Science;5"; 862328; ""
"Frau"; ""; "First086"; "Lastname086"; ""; ""; ""; ""; "Lastname086@email.de"; ""; "Master of Science;3"; 864139; ""
"Frau"; ""; "First043"; "Lastname043"; ""; ""; ""; ""; "Lastname043@email.de"; ""; "Master of Science;8"; 864587; ""
"Frau"; ""; "First129"; "Lastname129"; ""; ""; ""; ""; "Lastname129@email.de"; ""; "Master of Science;4"; 864758; ""
"Frau"; ""; "First081"; "Lastname081"; ""; ""; ""; ""; "Lastname081@email.de"; ""; "Master of Science;8"; 867048; ""
"Frau"; ""; "First023"; "Lastname023"; ""; ""; ""; ""; "Lastname023@email.de"; ""; "Master of Science;8"; 878508; ""
"Frau"; ""; "First053"; "Lastname053"; ""; ""; ""; ""; "Lastname053@email.de"; ""; "Master of Science;9"; 894331; ""
"Herr"; ""; "First005"; "Lastname005"; ""; ""; ""; ""; "Lastname005@email.de"; ""; "Master of Science;1"; 897566; ""
"Herr"; ""; "First135"; "Lastname135"; ""; ""; ""; ""; "Lastname135@email.de"; ""; "Master of Science;3"; 904787; ""
"Frau"; ""; "First094"; "Lastname094"; ""; ""; ""; ""; "Lastname094@email.de"; ""; "Master of Science;4"; 905588; ""
"Herr"; ""; "First062"; "Lastname062"; ""; ""; ""; ""; "Lastname062@email.de"; ""; "Master of Science;7"; 907345; ""
"Herr"; ""; "First047"; "Lastname047"; ""; ""; ""; ""; "Lastname047@email.de"; ""; "Master of Science;7"; 910107; ""
"Frau"; ""; "First087"; "Lastname087"; ""; ""; ""; ""; "Lastname087@email.de"; ""; "Master of Science;6"; 921954; ""
"Frau"; ""; "First069"; "Lastname069"; ""; ""; ""; ""; "Lastname069@email.de"; ""; "Master of Science;10"; 925568; ""
"Frau"; ""; "First108"; "Lastname108"; ""; ""; ""; ""; "Lastname108@email.de"; ""; "Master of Science;5"; 928799; ""
"Frau"; ""; "First137"; "Lastname137"; ""; ""; ""; ""; "Lastname137@email.de"; ""; "Master of Science;4"; 942668; ""
"Herr"; ""; "First079"; "Lastname079"; ""; ""; ""; ""; "Lastname079@email.de"; ""; "Master of Science;1"; 944129; ""
"Frau"; ""; "First061"; "Lastname061"; ""; ""; ""; ""; "Lastname061@email.de"; ""; "Master of Science;8"; 950957; ""
"Herr"; ""; "First149"; "Lastname149"; ""; ""; ""; ""; "Lastname149@email.de"; ""; "Master of Science;6"; 958896; ""
"Herr"; ""; "First029"; "Lastname029"; ""; ""; ""; ""; "Lastname029@email.de"; ""; "Master of Science;7"; 968125; ""
"Herr"; ""; "First092"; "Lastname092"; ""; ""; ""; ""; "Lastname092@email.de"; ""; "Master of Science;9"; 968718; ""
"Herr"; ""; "First058"; "Lastname058"; ""; ""; ""; ""; "Lastname058@email.de"; ""; "Master of Science;2"; 972002; ""
"Frau"; ""; "First136"; "Lastname136"; ""; ""; ""; ""; "Lastname136@email.de"; ""; "Master of Science;7"; 982206; ""
"Herr"; ""; "First002"; "Lastname002"; ""; ""; ""; ""; "Lastname002@email.de"; ""; "Master of Science;9"; 983054; ""
"Herr"; ""; "First041"; "Lastname041"; ""; ""; ""; ""; "Lastname041@email.de"; ""; "Master of Science;4"; 983349; ""
"Herr"; ""; "First065"; "Lastname065"; ""; ""; ""; ""; "Lastname065@email.de"; ""; "Master of Science;5"; 990160; ""
"Herr"; ""; "First085"; "Lastname085"; ""; ""; ""; ""; "Lastname085@email.de"; ""; "Master of Science;2"; 996060; ""
"Frau"; ""; "First089"; "Lastname089"; ""; ""; ""; ""; "Lastname089@email.de"; ""; "Master of Science;7"; 999944; ""
